Location_ID,Zone,Aisle,Rack_ID,Shelf_ID,Bin_ID,Capacity_Units
LOC00051,A,AISLE-11,RACK-09,SHELF-02,BIN-00051,100
LOC00052,A,AISLE-12,RACK-13,SHELF-04,BIN-00052,200
LOC00053,A,AISLE-13,RACK-04,SHELF-04,BIN-00053,150
LOC00054,A,AISLE-14,RACK-05,SHELF-01,BIN-00054,100
LOC00055,A,AISLE-15,RACK-02,SHELF-02,BIN-00055,175
LOC00056,A,AISLE-16,RACK-07,SHELF-04,BIN-00056,300
LOC00057,A,AISLE-17,RACK-03,SHELF-05,BIN-00057,250
LOC00058,A,AISLE-18,RACK-03,SHELF-01,BIN-00058,150
LOC00059,A,AISLE-19,RACK-07,SHELF-04,BIN-00059,175
LOC00060,A,AISLE-20,RACK-03,SHELF-03,BIN-00060,150
LOC00061,A,AISLE-21,RACK-02,SHELF-04,BIN-00061,100
LOC00062,A,AISLE-22,RACK-06,SHELF-05,BIN-00062,350
LOC00063,A,AISLE-23,RACK-13,SHELF-04,BIN-00063,100
LOC00064,A,AISLE-24,RACK-13,SHELF-04,BIN-00064,175
LOC00065,A,AISLE-25,RACK-12,SHELF-02,BIN-00065,175
LOC00066,A,AISLE-26,RACK-09,SHELF-03,BIN-00066,400
LOC00067,A,AISLE-27,RACK-05,SHELF-01,BIN-00067,200
LOC00068,A,AISLE-28,RACK-10,SHELF-04,BIN-00068,350
LOC00069,A,AISLE-29,RACK-18,SHELF-04,BIN-00069,100
LOC00070,A,AISLE-30,RACK-03,SHELF-03,BIN-00070,350
LOC00071,A,AISLE-31,RACK-05,SHELF-04,BIN-00071,200
LOC00072,A,AISLE-32,RACK-17,SHELF-02,BIN-00072,100
LOC00073,A,AISLE-33,RACK-13,SHELF-03,BIN-00073,400
LOC00074,A,AISLE-34,RACK-18,SHELF-04,BIN-00074,300
LOC00075,A,AISLE-35,RACK-19,SHELF-05,BIN-00075,300
LOC00076,A,AISLE-36,RACK-13,SHELF-03,BIN-00076,175
LOC00077,A,AISLE-37,RACK-01,SHELF-03,BIN-00077,200
LOC00078,A,AISLE-38,RACK-01,SHELF-03,BIN-00078,100
LOC00079,A,AISLE-39,RACK-16,SHELF-05,BIN-00079,300
LOC00080,A,AISLE-40,RACK-19,SHELF-02,BIN-00080,175
LOC00081,A,AISLE-01,RACK-04,SHELF-02,BIN-00081,200
LOC00082,A,AISLE-02,RACK-09,SHELF-05,BIN-00082,100
LOC00083,A,AISLE-03,RACK-08,SHELF-05,BIN-00083,350
LOC00084,A,AISLE-04,RACK-12,SHELF-02,BIN-00084,175
LOC00085,A,AISLE-05,RACK-08,SHELF-05,BIN-00085,300
LOC00086,A,AISLE-06,RACK-12,SHELF-05,BIN-00086,100
LOC00087,A,AISLE-07,RACK-12,SHELF-05,BIN-00087,175
LOC00088,A,AISLE-08,RACK-19,SHELF-02,BIN-00088,400
LOC00089,A,AISLE-09,RACK-18,SHELF-03,BIN-00089,175
LOC00090,A,AISLE-10,RACK-16,SHELF-01,BIN-00090,150
LOC00091,A,AISLE-11,RACK-02,SHELF-02,BIN-00091,200
LOC00092,A,AISLE-12,RACK-01,SHELF-05,BIN-00092,400
LOC00093,A,AISLE-13,RACK-01,SHELF-03,BIN-00093,200
LOC00094,A,AISLE-14,RACK-05,SHELF-03,BIN-00094,175
LOC00095,A,AISLE-15,RACK-11,SHELF-01,BIN-00095,100
LOC00096,A,AISLE-16,RACK-05,SHELF-05,BIN-00096,175
LOC00097,A,AISLE-17,RACK-04,SHELF-05,BIN-00097,300
LOC00098,A,AISLE-18,RACK-03,SHELF-03,BIN-00098,350
LOC00099,A,AISLE-19,RACK-19,SHELF-01,BIN-00099,300
LOC00100,A,AISLE-20,RACK-10,SHELF-03,BIN-00100,175
LOC00101,A,AISLE-21,RACK-06,SHELF-04,BIN-00101,400
LOC00102,A,AISLE-22,RACK-11,SHELF-02,BIN-00102,300
LOC00103,A,AISLE-23,RACK-08,SHELF-05,BIN-00103,175
LOC00104,A,AISLE-24,RACK-13,SHELF-03,BIN-00104,250
LOC00105,A,AISLE-25,RACK-05,SHELF-02,BIN-00105,100
LOC00106,A,AISLE-26,RACK-19,SHELF-04,BIN-00106,100
LOC00107,A,AISLE-27,RACK-06,SHELF-05,BIN-00107,300
LOC00108,A,AISLE-28,RACK-20,SHELF-02,BIN-00108,150
LOC00109,A,AISLE-29,RACK-16,SHELF-02,BIN-00109,300
LOC00110,A,AISLE-30,RACK-03,SHELF-02,BIN-00110,300
LOC00111,A,AISLE-31,RACK-11,SHELF-02,BIN-00111,150
LOC00112,A,AISLE-32,RACK-11,SHELF-04,BIN-00112,100
LOC00113,A,AISLE-33,RACK-09,SHELF-02,BIN-00113,200
LOC00114,A,AISLE-34,RACK-03,SHELF-03,BIN-00114,250
LOC00115,A,AISLE-35,RACK-04,SHELF-01,BIN-00115,100
LOC00116,A,AISLE-36,RACK-13,SHELF-04,BIN-00116,350
LOC00117,A,AISLE-37,RACK-06,SHELF-04,BIN-00117,400
LOC00118,A,AISLE-38,RACK-13,SHELF-03,BIN-00118,350
LOC00119,A,AISLE-39,RACK-04,SHELF-04,BIN-00119,200
LOC00120,A,AISLE-40,RACK-06,SHELF-04,BIN-00120,150
LOC00121,A,AISLE-01,RACK-02,SHELF-03,BIN-00121,100
LOC00122,A,AISLE-02,RACK-11,SHELF-03,BIN-00122,150
LOC00123,A,AISLE-03,RACK-03,SHELF-03,BIN-00123,175
LOC00124,A,AISLE-04,RACK-13,SHELF-02,BIN-00124,150
LOC00125,A,AISLE-05,RACK-18,SHELF-01,BIN-00125,300
LOC00126,A,AISLE-06,RACK-20,SHELF-05,BIN-00126,400
LOC00127,A,AISLE-07,RACK-01,SHELF-04,BIN-00127,175
LOC00128,A,AISLE-08,RACK-20,SHELF-04,BIN-00128,175
LOC00129,A,AISLE-09,RACK-02,SHELF-01,BIN-00129,300
LOC00130,A,AISLE-10,RACK-07,SHELF-02,BIN-00130,350
LOC00131,A,AISLE-11,RACK-18,SHELF-05,BIN-00131,250
LOC00132,A,AISLE-12,RACK-10,SHELF-03,BIN-00132,200
LOC00133,A,AISLE-13,RACK-04,SHELF-01,BIN-00133,350
LOC00134,A,AISLE-14,RACK-19,SHELF-05,BIN-00134,400
LOC00135,A,AISLE-15,RACK-05,SHELF-01,BIN-00135,300
LOC00136,A,AISLE-16,RACK-01,SHELF-04,BIN-00136,150
LOC00137,A,AISLE-17,RACK-10,SHELF-05,BIN-00137,400
LOC00138,A,AISLE-18,RACK-07,SHELF-01,BIN-00138,100
LOC00139,A,AISLE-19,RACK-07,SHELF-02,BIN-00139,250
LOC00140,A,AISLE-20,RACK-03,SHELF-04,BIN-00140,150
LOC00141,A,AISLE-21,RACK-10,SHELF-04,BIN-00141,400
LOC00142,A,AISLE-22,RACK-16,SHELF-03,BIN-00142,150
LOC00143,A,AISLE-23,RACK-18,SHELF-04,BIN-00143,175
LOC00144,A,AISLE-24,RACK-12,SHELF-04,BIN-00144,300
LOC00145,A,AISLE-25,RACK-06,SHELF-04,BIN-00145,100
LOC00146,A,AISLE-26,RACK-09,SHELF-04,BIN-00146,400
LOC00147,A,AISLE-27,RACK-09,SHELF-02,BIN-00147,250
LOC00148,A,AISLE-28,RACK-19,SHELF-01,BIN-00148,175
LOC00149,A,AISLE-29,RACK-04,SHELF-01,BIN-00149,300
LOC00150,A,AISLE-30,RACK-18,SHELF-04,BIN-00150,200
LOC00151,A,AISLE-31,RACK-18,SHELF-01,BIN-00151,350
LOC00152,A,AISLE-32,RACK-17,SHELF-04,BIN-00152,400
LOC00153,A,AISLE-33,RACK-19,SHELF-02,BIN-00153,400
LOC00154,A,AISLE-34,RACK-10,SHELF-01,BIN-00154,350
LOC00155,A,AISLE-35,RACK-02,SHELF-05,BIN-00155,175
LOC00156,A,AISLE-36,RACK-04,SHELF-04,BIN-00156,175
LOC00157,A,AISLE-37,RACK-06,SHELF-02,BIN-00157,200
LOC00158,A,AISLE-38,RACK-05,SHELF-01,BIN-00158,350
LOC00159,A,AISLE-39,RACK-03,SHELF-04,BIN-00159,200
LOC00160,A,AISLE-40,RACK-05,SHELF-05,BIN-00160,250
LOC00161,A,AISLE-01,RACK-11,SHELF-01,BIN-00161,150
LOC00162,A,AISLE-02,RACK-13,SHELF-05,BIN-00162,350
LOC00163,A,AISLE-03,RACK-18,SHELF-03,BIN-00163,250
LOC00164,A,AISLE-04,RACK-17,SHELF-04,BIN-00164,100
LOC00165,A,AISLE-05,RACK-20,SHELF-05,BIN-00165,350
LOC00166,A,AISLE-06,RACK-04,SHELF-04,BIN-00166,175
LOC00167,A,AISLE-07,RACK-05,SHELF-05,BIN-00167,150
LOC00168,A,AISLE-08,RACK-04,SHELF-05,BIN-00168,150
LOC00169,A,AISLE-09,RACK-10,SHELF-05,BIN-00169,300
LOC00170,A,AISLE-10,RACK-14,SHELF-03,BIN-00170,350
LOC00171,A,AISLE-11,RACK-16,SHELF-05,BIN-00171,400
LOC00172,A,AISLE-12,RACK-02,SHELF-02,BIN-00172,250
LOC00173,A,AISLE-13,RACK-13,SHELF-02,BIN-00173,350
LOC00174,A,AISLE-14,RACK-02,SHELF-04,BIN-00174,300
LOC00175,A,AISLE-15,RACK-08,SHELF-01,BIN-00175,400
LOC00176,A,AISLE-16,RACK-09,SHELF-03,BIN-00176,100
LOC00177,A,AISLE-17,RACK-11,SHELF-03,BIN-00177,250
LOC00178,A,AISLE-18,RACK-09,SHELF-04,BIN-00178,150
LOC00179,A,AISLE-19,RACK-08,SHELF-02,BIN-00179,250
LOC00180,A,AISLE-20,RACK-15,SHELF-03,BIN-00180,250
LOC00181,A,AISLE-21,RACK-14,SHELF-05,BIN-00181,150
LOC00182,A,AISLE-22,RACK-07,SHELF-04,BIN-00182,200
LOC00183,A,AISLE-23,RACK-14,SHELF-04,BIN-00183,300
LOC00184,A,AISLE-24,RACK-02,SHELF-05,BIN-00184,175
LOC00185,A,AISLE-25,RACK-03,SHELF-03,BIN-00185,350
LOC00186,A,AISLE-26,RACK-05,SHELF-05,BIN-00186,100
LOC00187,A,AISLE-27,RACK-06,SHELF-02,BIN-00187,200
LOC00188,A,AISLE-28,RACK-02,SHELF-02,BIN-00188,100
LOC00189,A,AISLE-29,RACK-15,SHELF-01,BIN-00189,300
LOC00190,A,AISLE-30,RACK-07,SHELF-03,BIN-00190,300
LOC00191,A,AISLE-31,RACK-15,SHELF-05,BIN-00191,350
LOC00192,A,AISLE-32,RACK-04,SHELF-01,BIN-00192,200
LOC00193,A,AISLE-33,RACK-12,SHELF-04,BIN-00193,400
LOC00194,A,AISLE-34,RACK-06,SHELF-04,BIN-00194,300
LOC00195,A,AISLE-35,RACK-12,SHELF-02,BIN-00195,250
LOC00196,A,AISLE-36,RACK-03,SHELF-03,BIN-00196,100
LOC00197,A,AISLE-37,RACK-13,SHELF-01,BIN-00197,175
LOC00198,A,AISLE-38,RACK-19,SHELF-02,BIN-00198,200
LOC00199,A,AISLE-39,RACK-08,SHELF-02,BIN-00199,250
LOC00200,A,AISLE-40,RACK-14,SHELF-05,BIN-00200,100
LOC00201,A,AISLE-01,RACK-01,SHELF-04,BIN-00201,175
LOC00202,A,AISLE-02,RACK-06,SHELF-05,BIN-00202,100
LOC00203,A,AISLE-03,RACK-08,SHELF-03,BIN-00203,250
LOC00204,A,AISLE-04,RACK-09,SHELF-04,BIN-00204,350
LOC00205,A,AISLE-05,RACK-12,SHELF-04,BIN-00205,250
LOC00206,A,AISLE-06,RACK-07,SHELF-04,BIN-00206,250
LOC00207,A,AISLE-07,RACK-17,SHELF-05,BIN-00207,350
LOC00208,A,AISLE-08,RACK-19,SHELF-01,BIN-00208,100
LOC00209,A,AISLE-09,RACK-17,SHELF-03,BIN-00209,250
LOC00210,A,AISLE-10,RACK-10,SHELF-01,BIN-00210,400
LOC00211,A,AISLE-11,RACK-03,SHELF-03,BIN-00211,250
LOC00212,A,AISLE-12,RACK-11,SHELF-03,BIN-00212,250
LOC00213,A,AISLE-13,RACK-10,SHELF-02,BIN-00213,175
LOC00214,A,AISLE-14,RACK-17,SHELF-02,BIN-00214,100
LOC00215,A,AISLE-15,RACK-20,SHELF-04,BIN-00215,300
LOC00216,A,AISLE-16,RACK-05,SHELF-01,BIN-00216,400
LOC00217,A,AISLE-17,RACK-10,SHELF-03,BIN-00217,350
LOC00218,A,AISLE-18,RACK-13,SHELF-04,BIN-00218,100
LOC00219,A,AISLE-19,RACK-19,SHELF-05,BIN-00219,200
LOC00220,A,AISLE-20,RACK-11,SHELF-02,BIN-00220,400
LOC00221,A,AISLE-21,RACK-12,SHELF-05,BIN-00221,250
LOC00222,A,AISLE-22,RACK-06,SHELF-05,BIN-00222,175
LOC00223,A,AISLE-23,RACK-10,SHELF-01,BIN-00223,400
LOC00224,A,AISLE-24,RACK-05,SHELF-03,BIN-00224,175
LOC00225,A,AISLE-25,RACK-11,SHELF-01,BIN-00225,200
LOC00226,A,AISLE-26,RACK-12,SHELF-02,BIN-00226,250
LOC00227,A,AISLE-27,RACK-14,SHELF-03,BIN-00227,300
LOC00228,A,AISLE-28,RACK-09,SHELF-05,BIN-00228,250
LOC00229,A,AISLE-29,RACK-15,SHELF-01,BIN-00229,400
LOC00230,A,AISLE-30,RACK-02,SHELF-05,BIN-00230,150
LOC00231,A,AISLE-31,RACK-16,SHELF-02,BIN-00231,150
LOC00232,A,AISLE-32,RACK-13,SHELF-05,BIN-00232,250
LOC00233,A,AISLE-33,RACK-14,SHELF-01,BIN-00233,175
LOC00234,A,AISLE-34,RACK-05,SHELF-02,BIN-00234,300
LOC00235,A,AISLE-35,RACK-14,SHELF-05,BIN-00235,400
LOC00236,A,AISLE-36,RACK-05,SHELF-03,BIN-00236,175
LOC00237,A,AISLE-37,RACK-03,SHELF-04,BIN-00237,300
LOC00238,A,AISLE-38,RACK-06,SHELF-03,BIN-00238,100
LOC00239,A,AISLE-39,RACK-01,SHELF-04,BIN-00239,250
LOC00240,A,AISLE-40,RACK-07,SHELF-02,BIN-00240,175
LOC00241,A,AISLE-01,RACK-16,SHELF-01,BIN-00241,175
LOC00242,A,AISLE-02,RACK-20,SHELF-04,BIN-00242,350
LOC00243,A,AISLE-03,RACK-13,SHELF-04,BIN-00243,400
LOC00244,A,AISLE-04,RACK-13,SHELF-01,BIN-00244,100
LOC00245,A,AISLE-05,RACK-18,SHELF-02,BIN-00245,300
LOC00246,A,AISLE-06,RACK-01,SHELF-03,BIN-00246,200
LOC00247,A,AISLE-07,RACK-01,SHELF-01,BIN-00247,200
LOC00248,A,AISLE-08,RACK-08,SHELF-03,BIN-00248,250
LOC00249,A,AISLE-09,RACK-05,SHELF-01,BIN-00249,350
LOC00250,A,AISLE-10,RACK-17,SHELF-05,BIN-00250,250
LOC00251,A,AISLE-11,RACK-06,SHELF-01,BIN-00251,100
LOC00252,A,AISLE-12,RACK-10,SHELF-03,BIN-00252,400
LOC00253,A,AISLE-13,RACK-17,SHELF-05,BIN-00253,300
LOC00254,A,AISLE-14,RACK-14,SHELF-02,BIN-00254,300
LOC00255,A,AISLE-15,RACK-16,SHELF-03,BIN-00255,200
LOC00256,A,AISLE-16,RACK-06,SHELF-04,BIN-00256,100
LOC00257,A,AISLE-17,RACK-08,SHELF-02,BIN-00257,175
LOC00258,A,AISLE-18,RACK-07,SHELF-01,BIN-00258,175
LOC00259,A,AISLE-19,RACK-04,SHELF-03,BIN-00259,100
LOC00260,A,AISLE-20,RACK-13,SHELF-03,BIN-00260,100
LOC00261,A,AISLE-21,RACK-20,SHELF-01,BIN-00261,150
LOC00262,A,AISLE-22,RACK-01,SHELF-01,BIN-00262,150
LOC00263,A,AISLE-23,RACK-14,SHELF-04,BIN-00263,350
LOC00264,A,AISLE-24,RACK-04,SHELF-05,BIN-00264,250
LOC00265,A,AISLE-25,RACK-16,SHELF-02,BIN-00265,200
LOC00266,A,AISLE-26,RACK-01,SHELF-03,BIN-00266,350
LOC00267,A,AISLE-27,RACK-04,SHELF-05,BIN-00267,250
LOC00268,A,AISLE-28,RACK-20,SHELF-05,BIN-00268,175
LOC00269,A,AISLE-29,RACK-14,SHELF-01,BIN-00269,150
LOC00270,A,AISLE-30,RACK-10,SHELF-01,BIN-00270,150
LOC00271,A,AISLE-31,RACK-16,SHELF-02,BIN-00271,200
LOC00272,A,AISLE-32,RACK-09,SHELF-05,BIN-00272,200
LOC00273,A,AISLE-33,RACK-12,SHELF-04,BIN-00273,250
LOC00274,A,AISLE-34,RACK-06,SHELF-01,BIN-00274,400
LOC00275,A,AISLE-35,RACK-07,SHELF-04,BIN-00275,300
LOC00276,A,AISLE-36,RACK-08,SHELF-01,BIN-00276,100
LOC00277,A,AISLE-37,RACK-03,SHELF-01,BIN-00277,400
LOC00278,A,AISLE-38,RACK-05,SHELF-01,BIN-00278,150
LOC00279,A,AISLE-39,RACK-04,SHELF-03,BIN-00279,200
LOC00280,A,AISLE-40,RACK-15,SHELF-03,BIN-00280,250
LOC00281,A,AISLE-01,RACK-15,SHELF-01,BIN-00281,150
LOC00282,A,AISLE-02,RACK-06,SHELF-01,BIN-00282,250
LOC00283,A,AISLE-03,RACK-12,SHELF-03,BIN-00283,350
LOC00284,A,AISLE-04,RACK-04,SHELF-01,BIN-00284,100
LOC00285,A,AISLE-05,RACK-01,SHELF-02,BIN-00285,175
LOC00286,A,AISLE-06,RACK-11,SHELF-03,BIN-00286,400
LOC00287,A,AISLE-07,RACK-20,SHELF-03,BIN-00287,150
LOC00288,A,AISLE-08,RACK-12,SHELF-03,BIN-00288,175
LOC00289,A,AISLE-09,RACK-04,SHELF-04,BIN-00289,350
LOC00290,A,AISLE-10,RACK-15,SHELF-03,BIN-00290,350
LOC00291,A,AISLE-11,RACK-16,SHELF-04,BIN-00291,175
LOC00292,A,AISLE-12,RACK-04,SHELF-02,BIN-00292,100
LOC00293,A,AISLE-13,RACK-06,SHELF-01,BIN-00293,350
LOC00294,A,AISLE-14,RACK-19,SHELF-04,BIN-00294,400
LOC00295,A,AISLE-15,RACK-06,SHELF-05,BIN-00295,350
LOC00296,A,AISLE-16,RACK-12,SHELF-05,BIN-00296,100
LOC00297,A,AISLE-17,RACK-05,SHELF-04,BIN-00297,400
LOC00298,A,AISLE-18,RACK-04,SHELF-04,BIN-00298,400
LOC00299,A,AISLE-19,RACK-02,SHELF-01,BIN-00299,250
LOC00300,A,AISLE-20,RACK-11,SHELF-01,BIN-00300,200
LOC00301,A,AISLE-21,RACK-11,SHELF-05,BIN-00301,150
LOC00302,A,AISLE-22,RACK-14,SHELF-02,BIN-00302,400
LOC00303,A,AISLE-23,RACK-12,SHELF-04,BIN-00303,175
LOC00304,A,AISLE-24,RACK-18,SHELF-05,BIN-00304,100
LOC00305,A,AISLE-25,RACK-01,SHELF-02,BIN-00305,400
LOC00306,A,AISLE-26,RACK-16,SHELF-02,BIN-00306,150
LOC00307,A,AISLE-27,RACK-16,SHELF-03,BIN-00307,200
LOC00308,A,AISLE-28,RACK-11,SHELF-03,BIN-00308,100
LOC00309,A,AISLE-29,RACK-17,SHELF-02,BIN-00309,350
LOC00310,A,AISLE-30,RACK-13,SHELF-02,BIN-00310,150
LOC00311,A,AISLE-31,RACK-15,SHELF-04,BIN-00311,400
LOC00312,A,AISLE-32,RACK-03,SHELF-04,BIN-00312,400
LOC00313,A,AISLE-33,RACK-11,SHELF-01,BIN-00313,400
LOC00314,A,AISLE-34,RACK-01,SHELF-01,BIN-00314,350
LOC00315,A,AISLE-35,RACK-14,SHELF-01,BIN-00315,100
LOC00316,A,AISLE-36,RACK-03,SHELF-05,BIN-00316,250
LOC00317,A,AISLE-37,RACK-17,SHELF-05,BIN-00317,200
LOC00318,A,AISLE-38,RACK-15,SHELF-03,BIN-00318,300
LOC00319,A,AISLE-39,RACK-02,SHELF-02,BIN-00319,400
LOC00320,A,AISLE-40,RACK-11,SHELF-05,BIN-00320,400
LOC00321,A,AISLE-01,RACK-12,SHELF-04,BIN-00321,150
LOC00322,A,AISLE-02,RACK-04,SHELF-02,BIN-00322,100
LOC00323,A,AISLE-03,RACK-11,SHELF-03,BIN-00323,250
LOC00324,A,AISLE-04,RACK-18,SHELF-05,BIN-00324,300
LOC00325,A,AISLE-05,RACK-04,SHELF-01,BIN-00325,175
LOC00326,A,AISLE-06,RACK-16,SHELF-02,BIN-00326,350
LOC00327,A,AISLE-07,RACK-04,SHELF-03,BIN-00327,200
LOC00328,A,AISLE-08,RACK-07,SHELF-01,BIN-00328,350
LOC00329,A,AISLE-09,RACK-07,SHELF-04,BIN-00329,200
LOC00330,A,AISLE-10,RACK-11,SHELF-01,BIN-00330,350
LOC00331,A,AISLE-11,RACK-02,SHELF-05,BIN-00331,150
LOC00332,A,AISLE-12,RACK-15,SHELF-04,BIN-00332,175
LOC00333,A,AISLE-13,RACK-16,SHELF-01,BIN-00333,100
LOC00334,A,AISLE-14,RACK-18,SHELF-04,BIN-00334,400
LOC00335,A,AISLE-15,RACK-17,SHELF-02,BIN-00335,175
LOC00336,A,AISLE-16,RACK-05,SHELF-01,BIN-00336,350
LOC00337,A,AISLE-17,RACK-20,SHELF-05,BIN-00337,300
LOC00338,A,AISLE-18,RACK-17,SHELF-04,BIN-00338,350
LOC00339,A,AISLE-19,RACK-20,SHELF-02,BIN-00339,250
LOC00340,A,AISLE-20,RACK-13,SHELF-03,BIN-00340,250
LOC00341,A,AISLE-21,RACK-15,SHELF-02,BIN-00341,175
LOC00342,A,AISLE-22,RACK-14,SHELF-05,BIN-00342,250
LOC00343,A,AISLE-23,RACK-18,SHELF-03,BIN-00343,200
LOC00344,A,AISLE-24,RACK-07,SHELF-02,BIN-00344,250
LOC00345,A,AISLE-25,RACK-12,SHELF-02,BIN-00345,175
LOC00346,A,AISLE-26,RACK-17,SHELF-05,BIN-00346,300
LOC00347,A,AISLE-27,RACK-04,SHELF-03,BIN-00347,400
LOC00348,A,AISLE-28,RACK-19,SHELF-05,BIN-00348,350
LOC00349,A,AISLE-29,RACK-18,SHELF-03,BIN-00349,350
LOC00350,A,AISLE-30,RACK-01,SHELF-05,BIN-00350,150
LOC00351,A,AISLE-31,RACK-01,SHELF-04,BIN-00351,175
LOC00352,A,AISLE-32,RACK-02,SHELF-01,BIN-00352,200
LOC00353,A,AISLE-33,RACK-09,SHELF-02,BIN-00353,250
LOC00354,A,AISLE-34,RACK-09,SHELF-02,BIN-00354,100
LOC00355,A,AISLE-35,RACK-10,SHELF-02,BIN-00355,100
LOC00356,A,AISLE-36,RACK-12,SHELF-04,BIN-00356,150
LOC00357,A,AISLE-37,RACK-20,SHELF-05,BIN-00357,200
LOC00358,A,AISLE-38,RACK-18,SHELF-04,BIN-00358,200
LOC00359,A,AISLE-39,RACK-17,SHELF-03,BIN-00359,100
LOC00360,A,AISLE-40,RACK-13,SHELF-04,BIN-00360,350
LOC00361,A,AISLE-01,RACK-11,SHELF-05,BIN-00361,100
LOC00362,A,AISLE-02,RACK-01,SHELF-03,BIN-00362,200
LOC00363,A,AISLE-03,RACK-20,SHELF-04,BIN-00363,200
LOC00364,A,AISLE-04,RACK-12,SHELF-05,BIN-00364,200
LOC00365,A,AISLE-05,RACK-07,SHELF-03,BIN-00365,400
LOC00366,A,AISLE-06,RACK-06,SHELF-01,BIN-00366,175
LOC00367,A,AISLE-07,RACK-06,SHELF-05,BIN-00367,150
LOC00368,A,AISLE-08,RACK-13,SHELF-01,BIN-00368,350
LOC00369,A,AISLE-09,RACK-09,SHELF-05,BIN-00369,250
LOC00370,A,AISLE-10,RACK-05,SHELF-02,BIN-00370,250
LOC00371,A,AISLE-11,RACK-01,SHELF-03,BIN-00371,400
LOC00372,A,AISLE-12,RACK-05,SHELF-01,BIN-00372,175
LOC00373,A,AISLE-13,RACK-11,SHELF-05,BIN-00373,100
LOC00374,A,AISLE-14,RACK-20,SHELF-03,BIN-00374,400
LOC00375,A,AISLE-15,RACK-19,SHELF-05,BIN-00375,300
