Order_ID,Product_ID,Product_Name,Category,Required_Quantity,Order_Priority,Order_Date,Requested_By,Order_Status
ORD00021,P00531,Lite Sneakers (Grey),Footwear,6,Urgent,2026-08-24 09:28,Customer-15536,Cancelled
ORD00022,P00153,Standard Wall Clock (Grey),Home,5,Low,2026-07-22 16:03,Customer-16404,Picked
ORD00023,P00151,Standard Power Bank (Green),Electronics,8,Medium,2026-07-06 21:11,Customer-16958,Picked
ORD00024,P00333,Plus Travel Pouch (White),Accessories,4,Urgent,2026-07-18 03:24,Customer-17096,Picked
ORD00025,P00595,Max Flip Flops (Black),Footwear,1,Low,2026-07-29 14:58,Customer-10552,Picked
ORD00026,P00662,Premium Power Bank (Green),Electronics,2,Urgent,2026-07-27 05:07,Customer-13492,Shipped
ORD00027,P00669,Mini Calculator (Beige),Stationery,4,Medium,2026-07-10 11:41,Customer-16967,Picking
ORD00028,P00648,Max Backpack (Blue),Accessories,1,Low,2026-07-10 13:46,Customer-18901,Cancelled
ORD00029,P00701,Premium Flip Flops (Green),Footwear,8,Low,2026-07-05 03:25,Customer-19447,Picked
ORD00030,P00464,Pro Marker Pack (Red),Stationery,1,Urgent,2026-08-04 04:49,Customer-19132,Cancelled
ORD00031,P00233,Compact Boots (Black),Footwear,5,Urgent,2026-07-02 05:54,Customer-15287,Picked
ORD00032,P00655,Lite Backpack (Silver),Accessories,8,Medium,2026-07-26 19:16,Customer-18164,Picking
ORD00033,P00244,Compact Handbag (Beige),Accessories,4,Medium,2026-07-25 08:17,Customer-19973,Shipped
ORD00034,P00255,Compact Umbrella (Black),Accessories,8,Urgent,2026-08-09 07:45,Customer-11536,Shipped
ORD00035,P00515,Deluxe Stapler (Green),Stationery,3,Medium,2026-08-02 18:58,Customer-13955,Pending
ORD00036,P00682,Standard Wall Clock (Green),Home,6,Urgent,2026-08-14 00:37,Customer-14163,Pending
ORD00037,P00578,Standard Backpack (Grey),Accessories,8,Urgent,2026-07-20 12:04,Customer-11353,Pending
ORD00038,P00531,Lite Sneakers (Grey),Footwear,7,Low,2026-07-30 19:22,Customer-14401,Pending
ORD00039,P00756,Pro Water Bottle (Blue),Home,6,High,2026-08-26 10:44,Customer-19251,Pending
ORD00040,P00336,Classic Stapler (Blue),Stationery,6,Urgent,2026-08-29 19:40,Customer-19813,Picked
ORD00041,P00495,Plus Keychain (Red),Accessories,3,Urgent,2026-08-21 22:18,Customer-18693,Picked
ORD00042,P00458,Premium Cap (Red),Accessories,7,Low,2026-07-14 22:55,Customer-18279,Pending
ORD00043,P00407,Mini Wallet (Grey),Accessories,3,Medium,2026-07-19 16:53,Customer-11260,Shipped
ORD00044,P00651,Standard Scissors (Blue),Stationery,2,Medium,2026-07-09 15:12,Customer-14413,Pending
ORD00045,P00707,Standard Cushion (Blue),Home,7,High,2026-08-27 21:55,Customer-17994,Cancelled
ORD00046,P00662,Premium Power Bank (Green),Electronics,1,Urgent,2026-08-25 15:39,Customer-16451,Cancelled
ORD00047,P00207,Lite Highlighter Set (Black),Stationery,2,High,2026-07-09 02:29,Customer-11929,Shipped
ORD00048,P00597,Deluxe Scissors (Green),Stationery,3,High,2026-07-31 05:46,Customer-12624,Picking
ORD00049,P00248,Premium Storage Box (Black),Home,3,Medium,2026-07-08 09:37,Customer-16392,Shipped
ORD00050,P00511,Mini Wireless Mouse (Green),Electronics,6,Urgent,2026-07-13 11:17,Customer-13509,Cancelled
ORD00051,P00353,Standard Sandals (Red),Footwear,2,Low,2026-08-09 00:59,Customer-12864,Shipped
ORD00052,P00717,Deluxe Keychain (White),Accessories,5,Urgent,2026-07-11 13:41,Customer-13104,Picked
ORD00053,P00179,Premium Marker Pack (Silver),Stationery,8,High,2026-08-15 05:17,Customer-12358,Picking
ORD00054,P00324,Standard Webcam (Green),Electronics,8,High,2026-08-29 05:09,Customer-18029,Picked
ORD00055,P00185,Max Formal Shoes (Green),Footwear,5,High,2026-07-10 05:08,Customer-10194,Cancelled
ORD00056,P00259,Plus Wireless Mouse (Black),Electronics,1,Low,2026-07-17 20:26,Customer-19730,Picking
ORD00057,P00493,Lite Wireless Mouse (Beige),Electronics,2,Medium,2026-07-24 17:57,Customer-18326,Shipped
ORD00058,P00068,Compact Router (Black),Electronics,5,High,2026-08-26 05:11,Customer-15609,Pending
ORD00059,P00679,Premium Marker Pack (Green),Stationery,3,Medium,2026-07-30 23:20,Customer-13706,Pending
ORD00060,P00785,Max Power Bank (Black),Electronics,6,Medium,2026-08-22 07:24,Customer-18968,Shipped
ORD00061,P00507,Pro Desk Organizer (Blue),Stationery,4,Low,2026-08-25 07:44,Customer-14839,Picking
ORD00062,P00501,Lite Highlighter Set (Black),Stationery,8,Medium,2026-07-20 04:37,Customer-17435,Picking
ORD00063,P00228,Standard Highlighter Set (Black),Stationery,2,Low,2026-08-17 09:12,Customer-11170,Picking
ORD00064,P00597,Deluxe Scissors (Green),Stationery,2,High,2026-07-14 12:35,Customer-15253,Pending
ORD00065,P00105,Standard Travel Pouch (Green),Accessories,2,High,2026-08-30 01:08,Customer-13399,Pending
ORD00066,P00110,Max Curtain (Grey),Home,8,Medium,2026-07-03 16:11,Customer-13075,Picked
ORD00067,P00784,Classic Table Lamp (White),Home,3,Medium,2026-07-05 00:53,Customer-16635,Cancelled
ORD00068,P00286,Deluxe Cap (Beige),Accessories,5,Urgent,2026-08-17 19:28,Customer-12793,Picking
ORD00069,P00143,Plus Water Bottle (Grey),Home,3,High,2026-07-12 11:28,Customer-12787,Pending
ORD00070,P00572,Mini Calculator (Blue),Stationery,4,Medium,2026-08-14 01:31,Customer-17774,Pending
ORD00071,P00787,Standard File Folder (Beige),Stationery,5,High,2026-08-22 09:14,Customer-19580,Pending
ORD00072,P00255,Compact Umbrella (Black),Accessories,1,Medium,2026-08-13 16:39,Customer-19205,Shipped
ORD00073,P00532,Lite Boots (Red),Footwear,8,High,2026-07-19 16:03,Customer-12029,Picking
ORD00074,P00115,Standard Photo Frame (Grey),Home,3,High,2026-08-08 14:47,Customer-16156,Pending
ORD00075,P00529,Premium Sunglasses (Green),Accessories,4,Low,2026-07-01 14:15,Customer-11107,Picked
ORD00076,P00110,Max Curtain (Grey),Home,4,Urgent,2026-08-26 20:26,Customer-17358,Cancelled
ORD00077,P00309,Lite Bluetooth Speaker (Black),Electronics,4,Urgent,2026-07-25 13:43,Customer-13233,Shipped
ORD00078,P00654,Deluxe Keychain (Beige),Accessories,8,High,2026-07-26 07:58,Customer-18908,Pending
ORD00079,P00099,Max Watch Strap (Grey),Accessories,4,Low,2026-07-21 07:52,Customer-11002,Picked
ORD00080,P00589,Premium Sneakers (Green),Footwear,7,High,2026-07-25 06:21,Customer-15016,Picked
ORD00081,P00321,Pro Earbuds (Red),Electronics,1,Low,2026-07-29 02:07,Customer-17999,Pending
ORD00082,P00016,Premium Wall Clock (Green),Home,4,Medium,2026-07-30 04:57,Customer-15274,Cancelled
ORD00083,P00532,Lite Boots (Red),Footwear,4,Medium,2026-07-12 20:21,Customer-19040,Pending
ORD00084,P00684,Mini Calculator (Black),Stationery,1,High,2026-07-12 07:34,Customer-19251,Picking
ORD00085,P00530,Lite Scissors (Silver),Stationery,1,High,2026-07-30 07:26,Customer-18764,Picked
ORD00086,P00504,Deluxe Water Bottle (Red),Home,3,Medium,2026-08-13 19:17,Customer-18445,Shipped
ORD00087,P00754,Mini Desk Organizer (Silver),Stationery,4,Low,2026-08-02 05:33,Customer-11149,Picked
ORD00088,P00437,Plus Boots (Black),Footwear,2,Medium,2026-07-27 19:58,Customer-13847,Picking
ORD00089,P00762,Pro Charger (Black),Electronics,8,Urgent,2026-07-04 00:47,Customer-16247,Shipped
ORD00090,P00427,Classic Door Mat (Beige),Home,1,Low,2026-08-14 21:53,Customer-13492,Picking
ORD00091,P00093,Compact Keychain (Blue),Accessories,2,Low,2026-07-10 02:10,Customer-11528,Pending
ORD00092,P00605,Mini Boots (Silver),Footwear,6,High,2026-07-31 06:06,Customer-10418,Cancelled
ORD00093,P00251,Classic Highlighter Set (Blue),Stationery,4,Urgent,2026-08-14 14:35,Customer-13118,Picked
ORD00094,P00702,Premium Table Lamp (Silver),Home,4,Low,2026-07-06 04:40,Customer-18075,Cancelled
ORD00095,P00080,Max Smart Watch (Grey),Electronics,1,High,2026-08-12 11:06,Customer-17956,Cancelled
ORD00096,P00647,Classic Desk Organizer (Blue),Stationery,4,Urgent,2026-08-29 08:36,Customer-16785,Pending
ORD00097,P00552,Premium Flip Flops (Grey),Footwear,3,Urgent,2026-08-22 20:34,Customer-10238,Picked
ORD00098,P00380,Mini Smart Watch (Black),Electronics,3,Urgent,2026-08-17 02:11,Customer-17812,Picking
ORD00099,P00099,Max Watch Strap (Grey),Accessories,3,Medium,2026-08-05 14:29,Customer-17352,Picked
ORD00100,P00131,Premium Storage Box (Green),Home,7,Medium,2026-07-28 04:12,Customer-17834,Picking
ORD00101,P00151,Standard Power Bank (Green),Electronics,6,Urgent,2026-08-02 18:50,Customer-16956,Picked
ORD00102,P00138,Max Sandals (Beige),Footwear,1,Medium,2026-08-22 09:16,Customer-13585,Shipped
ORD00103,P00452,Classic Curtain (Blue),Home,2,High,2026-08-26 19:44,Customer-10396,Shipped
ORD00104,P00163,Deluxe Formal Shoes (Red),Footwear,6,Low,2026-07-04 02:43,Customer-18990,Cancelled
ORD00105,P00024,Premium Candle Holder (Blue),Home,6,Medium,2026-07-22 07:31,Customer-10183,Cancelled
ORD00106,P00102,Max Cap (Red),Accessories,7,Medium,2026-08-21 17:37,Customer-14549,Picked
ORD00107,P00446,Premium Photo Frame (Black),Home,8,Urgent,2026-07-30 17:33,Customer-17327,Picked
ORD00108,P00302,Mini Belt (Red),Accessories,1,Medium,2026-07-17 21:07,Customer-14264,Pending
ORD00109,P00652,Plus Smart Watch (Black),Electronics,2,Medium,2026-08-02 21:50,Customer-15338,Shipped
ORD00110,P00496,Compact Slippers (Silver),Footwear,1,High,2026-07-26 12:59,Customer-10794,Pending
ORD00111,P00747,Premium Candle Holder (White),Home,8,Medium,2026-08-05 19:44,Customer-19853,Cancelled
ORD00112,P00696,Standard Photo Frame (Silver),Home,1,Urgent,2026-07-23 02:15,Customer-11172,Picking
ORD00113,P00264,Mini Curtain (Red),Home,2,Medium,2026-08-27 03:10,Customer-10545,Picked
ORD00114,P00756,Pro Water Bottle (Blue),Home,1,Low,2026-08-27 06:23,Customer-17843,Pending
ORD00115,P00585,Plus Sticky Notes (White),Stationery,5,Medium,2026-07-07 13:38,Customer-17100,Picked
ORD00116,P00317,Deluxe Webcam (Blue),Electronics,5,Urgent,2026-08-17 06:05,Customer-10803,Pending
ORD00117,P00042,Mini Sticky Notes (Silver),Stationery,1,Urgent,2026-07-27 17:48,Customer-14798,Shipped
ORD00118,P00261,Compact Sneakers (Beige),Footwear,5,Low,2026-08-02 15:46,Customer-16308,Cancelled
ORD00119,P00217,Deluxe Photo Frame (Grey),Home,8,Medium,2026-07-27 21:56,Customer-12791,Picked
ORD00120,P00417,Mini Belt (Beige),Accessories,5,High,2026-07-02 17:20,Customer-14620,Shipped
ORD00121,P00436,Lite Highlighter Set (Black),Stationery,6,Low,2026-07-13 05:55,Customer-16914,Pending
ORD00122,P00086,Deluxe Cap (Red),Accessories,1,Low,2026-07-18 12:20,Customer-19870,Picked
ORD00123,P00757,Classic Door Mat (Beige),Home,2,Urgent,2026-07-08 04:50,Customer-12795,Pending
ORD00124,P00394,Lite Formal Shoes (White),Footwear,3,Medium,2026-08-02 02:55,Customer-10981,Cancelled
ORD00125,P00692,Max Earbuds (Green),Electronics,6,Medium,2026-07-11 16:41,Customer-19857,Pending
ORD00126,P00316,Premium Laptop Stand (White),Electronics,2,Medium,2026-07-22 20:51,Customer-10352,Shipped
ORD00127,P00073,Deluxe HDMI Cable (Red),Electronics,5,Urgent,2026-08-15 06:16,Customer-17091,Picked
ORD00128,P00493,Lite Wireless Mouse (Beige),Electronics,7,High,2026-08-14 01:44,Customer-11663,Pending
ORD00129,P00708,Standard Sports Shoes (Black),Footwear,3,High,2026-07-21 19:36,Customer-11992,Cancelled
ORD00130,P00470,Pro Loafers (Silver),Footwear,8,Urgent,2026-08-06 14:11,Customer-12656,Picked
ORD00131,P00315,Standard Laptop Stand (Beige),Electronics,2,Low,2026-08-04 04:50,Customer-18354,Picked
ORD00132,P00300,Premium Tablet Stand (White),Electronics,7,Low,2026-07-26 07:26,Customer-14634,Picked
ORD00133,P00780,Pro Candle Holder (Red),Home,3,Medium,2026-08-28 14:02,Customer-15051,Pending
ORD00134,P00681,Max Curtain (Green),Home,4,High,2026-08-19 08:32,Customer-18331,Pending
ORD00135,P00091,Compact File Folder (Black),Stationery,8,High,2026-07-23 00:49,Customer-14454,Picked
ORD00136,P00786,Standard Earbuds (Grey),Electronics,3,Low,2026-08-14 21:13,Customer-15318,Cancelled
ORD00137,P00095,Plus Backpack (Red),Accessories,5,Medium,2026-07-25 05:25,Customer-10327,Pending
ORD00138,P00589,Premium Sneakers (Green),Footwear,5,Low,2026-08-30 02:59,Customer-15566,Cancelled
ORD00139,P00262,Mini Sticky Notes (Blue),Stationery,4,High,2026-08-06 21:07,Customer-14738,Cancelled
ORD00140,P00760,Mini Webcam (Black),Electronics,8,Urgent,2026-08-15 19:07,Customer-17808,Picking
ORD00141,P00490,Compact Loafers (White),Footwear,8,Low,2026-08-06 03:54,Customer-14172,Cancelled
ORD00142,P00482,Deluxe Monitor (Grey),Electronics,8,Urgent,2026-07-19 17:31,Customer-15269,Picking
ORD00143,P00281,Premium Boots (Grey),Footwear,6,Urgent,2026-07-14 11:20,Customer-19222,Pending
ORD00144,P00551,Premium Cap (Silver),Accessories,2,Low,2026-08-11 09:02,Customer-12077,Cancelled
ORD00145,P00586,Standard Flip Flops (Blue),Footwear,5,Low,2026-08-10 15:06,Customer-17130,Shipped
ORD00146,P00443,Plus Stapler (White),Stationery,7,Urgent,2026-08-08 16:39,Customer-11337,Cancelled
ORD00147,P00124,Mini Sneakers (Black),Footwear,4,Medium,2026-08-24 17:45,Customer-12681,Shipped
ORD00148,P00260,Plus Handbag (Beige),Accessories,6,High,2026-07-12 11:38,Customer-11855,Shipped
ORD00149,P00446,Premium Photo Frame (Black),Home,8,Urgent,2026-08-22 17:39,Customer-18699,Picked
ORD00150,P00431,Plus Travel Pouch (Blue),Accessories,6,Urgent,2026-08-10 17:34,Customer-10428,Picked
ORD00151,P00669,Mini Calculator (Beige),Stationery,4,Low,2026-08-09 16:36,Customer-17945,Pending
ORD00152,P00678,Lite Sticky Notes (Green),Stationery,5,Low,2026-07-28 13:56,Customer-17822,Shipped
ORD00153,P00114,Lite Charger (Grey),Electronics,1,Medium,2026-07-25 17:31,Customer-17377,Shipped
ORD00154,P00057,Max USB-C Cable (Red),Electronics,6,Urgent,2026-07-13 06:24,Customer-11401,Picked
ORD00155,P00378,Compact Highlighter Set (Blue),Stationery,5,Medium,2026-07-26 16:15,Customer-10586,Cancelled
ORD00156,P00709,Premium Marker Pack (Beige),Stationery,6,Low,2026-08-26 16:56,Customer-15304,Picking
ORD00157,P00380,Mini Smart Watch (Black),Electronics,4,Low,2026-08-05 10:45,Customer-14232,Picked
ORD00158,P00765,Plus Wireless Mouse (White),Electronics,5,Medium,2026-08-20 00:33,Customer-15515,Picked
ORD00159,P00727,Premium Calculator (Beige),Stationery,8,Low,2026-08-30 21:40,Customer-16717,Picking
ORD00160,P00248,Premium Storage Box (Black),Home,5,High,2026-07-31 18:56,Customer-10052,Picked
ORD00161,P00028,Classic Earbuds (White),Electronics,6,High,2026-08-21 10:54,Customer-10161,Shipped
ORD00162,P00165,Plus Notebook (Beige),Stationery,8,High,2026-08-12 19:39,Customer-18650,Picking
ORD00163,P00487,Premium Candle Holder (Silver),Home,6,Low,2026-08-05 09:56,Customer-10986,Cancelled
ORD00164,P00596,Lite Flip Flops (Red),Footwear,3,Low,2026-07-25 19:43,Customer-16604,Pending
ORD00165,P00241,Classic Stapler (Grey),Stationery,7,Urgent,2026-08-07 07:06,Customer-13070,Shipped
ORD00166,P00446,Premium Photo Frame (Black),Home,5,High,2026-07-28 20:58,Customer-19831,Picked
ORD00167,P00202,Standard Keychain (Grey),Accessories,1,Urgent,2026-08-02 19:12,Customer-17896,Cancelled
ORD00168,P00408,Mini Bed Sheet Set (Beige),Home,7,Medium,2026-07-10 08:09,Customer-13668,Shipped
ORD00169,P00508,Plus Keyboard (Green),Electronics,5,High,2026-08-12 12:15,Customer-14557,Shipped
ORD00170,P00109,Compact Curtain (White),Home,5,Urgent,2026-08-08 05:40,Customer-19607,Pending
ORD00171,P00399,Deluxe Slippers (Grey),Footwear,7,Medium,2026-07-18 13:42,Customer-10355,Shipped
ORD00172,P00178,Standard USB-C Cable (Silver),Electronics,3,Medium,2026-08-01 05:31,Customer-10591,Pending
ORD00173,P00398,Standard Water Bottle (Green),Home,2,Medium,2026-08-25 04:47,Customer-16997,Cancelled
ORD00174,P00488,Deluxe Loafers (Blue),Footwear,1,Low,2026-08-18 06:09,Customer-18349,Picking
ORD00175,P00214,Premium Table Lamp (Grey),Home,8,Urgent,2026-07-05 20:48,Customer-10346,Cancelled
ORD00176,P00065,Lite Keyboard (Silver),Electronics,4,Medium,2026-07-18 21:38,Customer-19494,Pending
ORD00177,P00145,Lite Cushion (Beige),Home,8,Medium,2026-07-19 23:28,Customer-13796,Picking
ORD00178,P00443,Plus Stapler (White),Stationery,3,Medium,2026-08-22 06:23,Customer-14610,Pending
ORD00179,P00566,Premium Sandals (Blue),Footwear,2,Low,2026-07-01 08:15,Customer-19457,Picked
ORD00180,P00626,Premium Door Mat (Blue),Home,2,Urgent,2026-08-25 19:29,Customer-12859,Cancelled
ORD00181,P00308,Max Webcam (Green),Electronics,5,Urgent,2026-08-08 06:39,Customer-14051,Pending
ORD00182,P00110,Max Curtain (Grey),Home,3,Low,2026-08-19 08:53,Customer-19823,Pending
ORD00183,P00270,Pro Door Mat (Red),Home,6,Medium,2026-08-09 13:29,Customer-11571,Pending
ORD00184,P00670,Lite Sandals (Grey),Footwear,1,High,2026-07-14 04:56,Customer-13776,Cancelled
ORD00185,P00768,Plus Webcam (Grey),Electronics,6,Low,2026-07-06 10:06,Customer-17081,Shipped
ORD00186,P00662,Premium Power Bank (Green),Electronics,5,High,2026-08-22 18:17,Customer-13552,Cancelled
ORD00187,P00298,Plus Monitor (Green),Electronics,4,Low,2026-07-18 04:37,Customer-15853,Picked
ORD00188,P00163,Deluxe Formal Shoes (Red),Footwear,5,Low,2026-08-18 05:35,Customer-13970,Shipped
ORD00189,P00737,Pro Laptop Stand (Red),Electronics,4,Medium,2026-08-13 15:08,Customer-19009,Picked
ORD00190,P00055,Premium Candle Holder (Black),Home,1,High,2026-07-23 04:14,Customer-17349,Shipped
ORD00191,P00140,Compact Photo Frame (Silver),Home,8,High,2026-07-08 05:16,Customer-11222,Shipped
ORD00192,P00163,Deluxe Formal Shoes (Red),Footwear,1,Medium,2026-08-02 13:31,Customer-15775,Picking
ORD00193,P00162,Standard Keychain (Beige),Accessories,8,High,2026-08-08 15:22,Customer-14553,Picked
ORD00194,P00692,Max Earbuds (Green),Electronics,4,Low,2026-08-16 12:21,Customer-12352,Shipped
ORD00195,P00572,Mini Calculator (Blue),Stationery,8,High,2026-08-11 23:52,Customer-18359,Cancelled
ORD00196,P00584,Standard Candle Holder (White),Home,2,High,2026-07-25 10:19,Customer-18627,Shipped
ORD00197,P00454,Mini Router (Green),Electronics,8,Low,2026-07-16 02:04,Customer-14212,Shipped
ORD00198,P00552,Premium Flip Flops (Grey),Footwear,2,Urgent,2026-08-04 21:52,Customer-14826,Pending
ORD00199,P00454,Mini Router (Green),Electronics,3,Low,2026-08-04 12:48,Customer-16240,Picked
ORD00200,P00188,Deluxe Calculator (Grey),Stationery,2,Medium,2026-07-26 15:22,Customer-17963,Picking
ORD00201,P00077,Mini Watch Strap (Grey),Accessories,1,High,2026-08-30 14:17,Customer-10299,Picked
ORD00202,P00021,Max Backpack (Black),Accessories,2,Urgent,2026-07-25 00:26,Customer-17539,Pending
ORD00203,P00581,Pro Notebook (Silver),Stationery,3,Medium,2026-07-07 06:52,Customer-14085,Picking
ORD00204,P00468,Standard Power Bank (Silver),Electronics,3,Low,2026-07-06 02:50,Customer-15970,Shipped
ORD00205,P00542,Pro Running Shoes (Beige),Footwear,5,Low,2026-07-10 01:46,Customer-13637,Picked
ORD00206,P00326,Pro Headphones (White),Electronics,2,High,2026-07-03 17:27,Customer-16062,Picking
ORD00207,P00065,Lite Keyboard (Silver),Electronics,2,Urgent,2026-08-30 05:33,Customer-11864,Picked
ORD00208,P00524,Premium Running Shoes (Green),Footwear,6,Low,2026-07-28 12:02,Customer-17256,Picking
ORD00209,P00094,Classic Storage Box (Grey),Home,8,Urgent,2026-07-20 22:11,Customer-10758,Pending
ORD00210,P00681,Max Curtain (Green),Home,5,High,2026-08-11 23:26,Customer-11511,Shipped
ORD00211,P00369,Plus Desk Organizer (Green),Stationery,1,Low,2026-08-07 18:15,Customer-13821,Pending
ORD00212,P00190,Mini Loafers (Grey),Footwear,8,High,2026-07-10 10:26,Customer-17424,Picking
ORD00213,P00242,Deluxe Keychain (Silver),Accessories,8,Urgent,2026-08-24 05:01,Customer-11366,Pending
ORD00214,P00101,Max Cushion (Silver),Home,5,High,2026-08-30 02:56,Customer-16778,Picking
ORD00215,P00079,Deluxe Curtain (White),Home,3,High,2026-08-20 04:59,Customer-14277,Pending
ORD00216,P00001,Lite Wireless Mouse (Red),Electronics,2,High,2026-08-07 20:36,Customer-18588,Shipped
ORD00217,P00343,Mini Bluetooth Speaker (Black),Electronics,7,Low,2026-07-25 13:39,Customer-10868,Picking
ORD00218,P00666,Deluxe Pen Set (Green),Stationery,2,Medium,2026-07-29 11:57,Customer-14088,Picked
ORD00219,P00556,Standard Hiking Boots (Beige),Footwear,5,Low,2026-07-04 18:29,Customer-11367,Pending
ORD00220,P00571,Compact Tablet Stand (Red),Electronics,1,Medium,2026-07-03 19:35,Customer-15553,Pending
ORD00221,P00085,Pro Wallet (Blue),Accessories,4,Urgent,2026-07-29 17:56,Customer-11843,Cancelled
ORD00222,P00336,Classic Stapler (Blue),Stationery,7,Urgent,2026-08-25 15:17,Customer-12475,Shipped
ORD00223,P00416,Pro Notebook (Black),Stationery,4,Medium,2026-08-24 15:38,Customer-18100,Shipped
ORD00224,P00622,Compact Power Bank (Beige),Electronics,7,Urgent,2026-08-09 18:41,Customer-15363,Picked
ORD00225,P00515,Deluxe Stapler (Green),Stationery,7,High,2026-07-31 05:53,Customer-15190,Shipped
ORD00226,P00359,Premium Hiking Boots (Green),Footwear,5,High,2026-07-01 17:58,Customer-12940,Picked
ORD00227,P00411,Plus Bed Sheet Set (Red),Home,1,Low,2026-07-24 18:01,Customer-19677,Picked
ORD00228,P00679,Premium Marker Pack (Green),Stationery,7,Urgent,2026-08-15 12:46,Customer-18061,Picked
ORD00229,P00265,Premium Wall Clock (Grey),Home,3,Low,2026-07-10 15:19,Customer-18175,Pending
ORD00230,P00119,Standard Belt (Green),Accessories,2,Low,2026-07-28 07:35,Customer-10909,Picked
ORD00231,P00570,Pro Scissors (White),Stationery,2,Low,2026-07-02 22:00,Customer-15411,Picked
ORD00232,P00502,Mini Keyboard (Grey),Electronics,3,Low,2026-07-04 19:50,Customer-18059,Cancelled
ORD00233,P00391,Classic Scissors (Green),Stationery,1,Medium,2026-07-30 16:22,Customer-14437,Picked
ORD00234,P00094,Classic Storage Box (Grey),Home,5,High,2026-07-28 05:10,Customer-14269,Picking
ORD00235,P00767,Pro Sports Shoes (White),Footwear,8,Urgent,2026-08-06 19:26,Customer-18684,Cancelled
ORD00236,P00063,Premium Door Mat (Red),Home,1,Urgent,2026-08-01 13:02,Customer-15380,Pending
ORD00237,P00233,Compact Boots (Black),Footwear,7,High,2026-08-09 21:22,Customer-16729,Cancelled
ORD00238,P00259,Plus Wireless Mouse (Black),Electronics,8,Urgent,2026-08-26 04:46,Customer-14805,Picking
ORD00239,P00261,Compact Sneakers (Beige),Footwear,7,Urgent,2026-07-06 17:07,Customer-14830,Picking
ORD00240,P00006,Deluxe Slippers (Grey),Footwear,7,Urgent,2026-08-10 12:44,Customer-17194,Pending
ORD00241,P00046,Max USB-C Cable (White),Electronics,2,Medium,2026-08-09 01:32,Customer-13603,Shipped
ORD00242,P00369,Plus Desk Organizer (Green),Stationery,8,High,2026-08-22 11:59,Customer-13696,Cancelled
ORD00243,P00767,Pro Sports Shoes (White),Footwear,8,Low,2026-08-29 05:09,Customer-16735,Pending
ORD00244,P00700,Plus Cap (Silver),Accessories,6,Medium,2026-07-05 07:29,Customer-11990,Shipped
ORD00245,P00086,Deluxe Cap (Red),Accessories,1,Urgent,2026-07-30 08:23,Customer-18098,Shipped
ORD00246,P00015,Max Tablet Stand (White),Electronics,8,Medium,2026-07-08 07:28,Customer-11816,Cancelled
ORD00247,P00007,Mini Earbuds (Beige),Electronics,8,Low,2026-07-01 11:53,Customer-19070,Picked
ORD00248,P00184,Lite Wall Clock (Grey),Home,5,Medium,2026-08-16 03:20,Customer-15940,Shipped
ORD00249,P00448,Standard Headphones (Green),Electronics,7,Low,2026-07-10 08:14,Customer-17900,Pending
ORD00250,P00444,Lite Webcam (Grey),Electronics,8,High,2026-08-08 22:41,Customer-11512,Cancelled
ORD00251,P00744,Mini Power Bank (Blue),Electronics,3,High,2026-07-15 12:02,Customer-14905,Cancelled
